region,producto,precio_promedio_mxn,indice_inflacion_local,variacion_porcentual_mensual,costo_transporte_mxn
Norte,Tortilla (Kg),47.92,4.94,0.59,6.97
Centro,Huevo (Kg),43.86,5.03,-0.57,9.64
Norte,Huevo (Kg),45.04,5.6,-0.34,19.18
Centro,Tortilla (Kg),56.66,4.77,-0.25,21.47
Sur,Leche (Litro),40.46,5.61,1.26,22.14
Sur,Leche (Litro),52.88,6.75,3.01,13.3
Norte,Leche (Litro),46.33,5.85,-0.48,6.79
Norte,Frijol (Kg),46.32,5.16,1.65,13.76
Norte,Tortilla (Kg),52.74,5.05,-1.05,9.61
Occidente,Huevo (Kg),50.04,4.91,-0.69,10.82
Occidente,Tortilla (Kg),51.42,6.14,-0.57,20.45
Centro,Tortilla (Kg),53.81,4.7,-0.77,6.51
Centro,Huevo (Kg),46.01,5.24,-0.86,21.55
Sur,Huevo (Kg),44.33,5.24,0.61,13.55
Norte,Frijol (Kg),41.49,4.8,-0.05,16.92
Occidente,Leche (Litro),43.05,4.1,0.57,6.79
Centro,Aceite (Litro),65.69,5.46,0.99,11.75
Centro,Aceite (Litro),55.47,5.15,0.43,6.79
Centro,Frijol (Kg),39.89,5.6,0.95,24.23
Norte,Tortilla (Kg),40.07,4.77,0.08,21.15
Norte,Frijol (Kg),50.89,6.18,-0.69,14.19
Sur,Leche (Litro),51.28,4.5,1.61,9.47
Norte,Huevo (Kg),51.29,6.57,-0.34,23.67
Centro,Tortilla (Kg),46.47,3.8,-0.56,11.89
Norte,Leche (Litro),47.25,5.55,-0.02,8.22
Centro,Tortilla (Kg),49.97,5.58,-0.55,16.26
Norte,Frijol (Kg),48.52,4.56,-0.22,23.88
Centro,Frijol (Kg),34.68,5.54,0.53,5.08
Sur,Huevo (Kg),46.62,6.22,0.53,9.76
Norte,Tortilla (Kg),42.89,3.43,-0.54,23.77
Centro,Tortilla (Kg),49.05,5.6,-0.27,8.42
Centro,Huevo (Kg),65.91,3.21,1.64,7.26
Sur,Huevo (Kg),50.2,4.43,0.72,16.4
Occidente,Leche (Litro),46.12,6.5,4.23,22.24
Sur,Tortilla (Kg),53.53,4.73,1.85,14.54
Norte,Frijol (Kg),50.9,4.26,1.78,24.89
Norte,Tortilla (Kg),50.52,5.04,-0.78,18.58
Norte,Aceite (Litro),51.64,6.85,1.11,6.48
Centro,Tortilla (Kg),60.34,3.73,0.1,24.86
Norte,Tortilla (Kg),41.21,4.36,-0.32,13.16
Centro,Aceite (Litro),50.84,6.4,0.32,10.75
Centro,Leche (Litro),42.44,6.69,1.41,16.16
Centro,Huevo (Kg),51.33,5.12,0.73,11.09
Sur,Leche (Litro),42.49,4.21,-0.53,6.73
Norte,Tortilla (Kg),45.5,6.88,1.07,5.03
Norte,Tortilla (Kg),46.23,6.48,-0.38,13.99
Sur,Huevo (Kg),53.85,5.74,0.38,21.74
Centro,Huevo (Kg),53.51,4.55,-0.13,16.45
Sur,Leche (Litro),40.53,5.16,-0.05,24.98
Centro,Tortilla (Kg),48.33,5.07,1.11,10.74
Norte,Tortilla (Kg),43.74,5.46,-0.62,10.61
Sur,Leche (Litro),40.45,6.36,3.8,8.19
Sur,Leche (Litro),46.7,5.9,-0.95,8.28
Sur,Huevo (Kg),46.15,4.34,-0.35,10.7
Norte,Frijol (Kg),62.56,6.3,0.56,20.86
Centro,Huevo (Kg),50.6,5.45,0.84,23.12
Centro,Leche (Litro),39.73,5.75,0.05,24.5
Norte,Frijol (Kg),44.61,6.37,0.09,9.65
Occidente,Aceite (Litro),54.13,4.31,0.61,22.63
Norte,Huevo (Kg),60.53,5.17,-0.06,11.57
Occidente,Huevo (Kg),38.48,4.77,2.3,7.26
Centro,Tortilla (Kg),36.72,3.95,1.23,22.4
